Address,Sold_Price,Year_built,Total_interior_livable_area,Total_spaces,Garage_spaces,Elementary_School_Distance,Middle_School_Distance,High_School_Distance,Annual_tax_amount,Last_Sold_Price
'4340 S Normandie Ave',2.604749,1950,?,0,0,0.1,?,0.5,2.308056,?
'1100 Wilshire Blvd APT 2003',2.569591,1986,750,0,0,0.5,0.4,0.6,2.276309,419500
'55 Pala Ave',2.619738,2005,1932,1,1,?,0.7,0.5,2.351235,750000
'5383 Emporia Ave',2.645957,1951,1300,2,2,0.9,1.1,1.1,2.315939,610000
'10822 Northfield Sq',2.638304,1973,1060,2,2,0.5,2.2,1.2,2.163617,?
'1223 Saint Francis St',2.65588,1948,1310,0,0,0.6,?,1.4,2.130963,?
'2982 3rd St',2.512255,1950,1344,0,0,?,?,?,2.13075,115000
'740 N Kings Rd APT 122',2.582239,1973,664,1,1,0.3,2.2,0.7,2.275484,490000
'1019 L St',2.51676,1918,1765,0,0,0.3,1,0.5,2.173882,187500
'1200 Gough St UNIT 10B',2.575975,1966,550,1,1,0.4,?,0.8,2.270377,430000
'1874 Harris Ave',2.653583,1961,2396,2,2,0.1,0.3,2.1,2.253812,?
'680 Hartman Creek Rd',2.534347,?,?,?,?,3.3,?,6.4,?,?
'103 Lisa Ct',2.675601,1989,2973,0,0,0.6,1.4,4.1,2.379983,1610000
'402 Boardwalk Ave',2.578749,1971,650,0,0,0.8,?,2,2.252319,580000
'4775 19th St',2.670287,1918,?,1,1,0.2,?,?,2.412805,2065000
'100 Terrace View Cir',2.548965,1992,1639,2,2,1.6,?,2.7,2.198779,200000
'228 Athens St',2.579461,1907,1125,0,0,0.5,1.3,0.3,?,?
'540 Park Way',2.618136,1947,1140,0,0,0.1,0.7,1.1,2.280184,410000
'165 Blossom Hill Rd SPACE 344',2.538473,2014,1680,0,0,0.3,?,0.7,2.162731,?
'330 S Barrington Ave APT 102',2.618136,1963,1360,0,0,1.4,1.8,1.1,2.318448,765000
'880 Forest Ridge Dr',2.679077,1967,1840,2,2,0.1,1.2,1.3,2.264193,?
'217 N Claremont St',2.616496,1917,1280,4,4,3.3,1.4,0.4,2.280153,300000
'737 Casswood Ct',2.662656,1977,3146,2,2,0.5,1,1,2.28988,?
'1247 Harrison St APT 28',2.624329,2004,1083,1,1,?,?,?,2.295397,475500
'1300 S Gunlock Ave',2.563649,1948,1115,0,0,0.2,?,0.9,2.08395,?
'1171 Cayuga Ave',2.627224,1936,1300,2,2,0.8,0.2,0.1,2.120383,?
'3033 Kaiser Dr UNIT H',2.573552,1971,680,1,1,0.4,1.1,0.2,2.159271,122000
'807 Bay Rd',2.64378,1923,900,1,1,0.8,2.9,1.2,2.369359,1220000
'1517 23rd St',2.643224,1910,800,0,0,?,?,?,?,?
Dolton,2.618136,?,?,?,?,0.7,0.7,0.6,?,900000
'50650 Highway 1',2.671204,1967,1100,0,0,8.4,24.9,22.4,1.979928,?
'2185 Menzel Pl',2.639318,1954,1181,1,1,0.2,1.5,1.5,2.064897,?
'4433 Park Paxton Pl',2.635857,1978,2563,2,2,0.5,?,1.4,2.244989,?
'408 Utah St',2.649348,1912,?,1,1,0.6,4.1,0.3,?,?
'1800 W 41st Dr',2.598025,1914,1929,2,2,0.3,?,?,2.045856,?
'17828 Calle Tierra',2.610874,2001,1440,2,2,0.2,9.1,1.8,2.30698,700000
'1479 Bongate Ct',2.648064,1959,1400,2,2,0.4,?,1.2,?,?
'969 Hilgard Ave APT 408',2.60717,1961,962,0,0,0.7,?,1.6,2.314997,?
'356 Santana Row APT 301',2.670472,2002,2368,2,2,1,0.8,1.6,2.40781,1799750
'488 Folsom St APT 4001',2.712116,2019,1934,1,1,1.7,3.3,0.8,?,?
'11260 Regent St',2.638902,1947,1771,0,0,0.2,?,?,2.331788,782500
'15238 Heavenly Gln',2.554602,1966,2050,8,2,11.2,?,13.2,2.219563,299000
'16195 George St',2.697672,1910,2144,0,0,0.2,6.9,1,?,?
'201 Ada Ave APT 2',2.649855,1987,1247,1,1,0.5,1.6,2.1,2.309691,537000
'2025 Anderholt Rd',2.543324,1974,2126,2,2,?,?,2,2.217731,254000
'434 Vicksburg St',2.682067,1908,1531,1,1,0.6,0.2,0.7,2.395613,1360000
'4295 George Ave APT 3',2.595817,1965,840,0,0,0.6,?,1.7,2.198301,?
'1118 E 121st Pl',2.554199,1945,1588,0,0,0.4,?,0.5,2.200092,137000
'1777 Duvall Dr',2.644877,1958,1066,1,1,0.6,?,1,2.330838,588000
'105 Chase Ln',2.641815,1991,2531,0,0,0.3,?,2.3,2.354623,1153000
'10640 Somma Way',2.685217,1967,2916,0,0,1.7,?,3,2.444875,?
'4589 Via Marisol UNIT 360',2.563649,1981,1015,2,2,0.4,?,1.5,2.208325,239000
'136 Shelter Lagoon Dr',2.55142,1974,1288,1,1,0.4,0.7,2.8,2.301529,705000
'48 Primrose St #48',2.572777,2010,1538,0,0,0.3,?,3.3,?,?
'2272 Cabrillo Ave',2.653296,1954,1512,1,1,0.3,1.5,1.4,2.097235,?
'1241 N Monroe St',2.620369,1950,1052,1,1,1.2,1.3,1.3,2.152041,?
'1320 Flower Ct',2.675601,1960,1513,2,2,0.8,1.3,1.7,2.172701,?
'4034 La Salle Ave',2.649855,2020,1644,2,2,0.4,0.8,0.8,2.446872,1450000
'928 Hilldale Ave',2.63979,2001,1598,0,0,0.1,3.1,1.7,2.327094,600000
'430 Creekside Way',2.571202,1940,660,0,0,2.7,2.8,2.8,2.249131,397000
'1474 Frontero Ave',2.701181,1959,2503,2,2,0.4,?,1.6,2.413515,1810000
'1133 Callas Ln APT 4',2.582239,1976,840,2,2,1,0.5,3.3,2.28187,510000
'123 E 95th St',2.583186,1946,1623,2,2,0.3,1.1,?,2.25402,257000
'1051 Camino Ricardo',2.683074,2005,2691,1,1,0.7,1.3,1.2,2.402474,1673000
'771 26th Ave',2.686521,1918,3009,1,1,0.6,0.5,0.4,?,?
'283 Blossom Valley Dr',2.655185,1969,1887,2,2,0,0.5,1.3,2.164855,?
'Ute Ct',2.490934,?,?,?,?,3.3,?,6.6,?,65000
'20 Willow Rd APT 38',2.619738,1965,786,0,0,1.3,1.5,0.7,2.309805,569000
'26 Pine Ave',2.555003,1970,2800,2,2,5.3,?,11.8,2.220892,?
'907 Danny Boy Ct',2.596376,1995,1446,2,2,2,?,4.5,2.269833,400000
'1086 Bigleaf Pl UNIT 101',2.640374,2016,2001,2,2,0.6,?,2.4,2.347395,876500
'8200 Bolsa Ave SPACE 165',2.478083,2017,1512,3,3,0.3,0.8,1.6,2.068474,?
'1952 Tudor Ln',2.668509,2016,2844,2,2,0.5,4,1.2,2.379167,1387000
'1232 Snowline Dr',2.570401,1972,2219,2,2,6.6,?,9.7,2.202348,252500
'1467 Alma Loop',2.592967,1984,1071,0,0,0.4,1.3,1.2,2.275699,445000
'151 Rose Ln',2.543908,1969,2103,4,4,2.3,?,9.1,2.161254,?
'1427 San Tomas Aquino Rd',2.652525,1958,1303,2,2,0.3,?,1.6,2.379691,1270000
'3136 W 71st St',2.555302,1923,624,1,1,0.8,0.1,?,2.242697,355000
'1327 Terra Nova Blvd',2.594114,1970,900,0,0,1.3,?,6.6,2.223068,165000
'3568 Sweigert Rd',2.680036,1998,3750,3,3,1.2,0.9,0.7,2.384503,1200000
'220 Silver Leaf Dr APT A',2.552151,1986,924,0,0,0.8,0.4,0.4,2.148139,245500
'1034 L St',2.490934,1927,1356,1,1,0.2,0.9,0.5,2.047684,?
'1115 Forest Way',2.59693,1973,1016,0,0,1.5,3.1,3.3,2.257774,390000
'9000 Dicks St',2.641815,1926,858,0,0,0.2,3.2,1.7,2.121396,?
'3728 E 3rd St',2.588116,1924,1719,0,0,0.3,0.5,?,2.125878,?
'1348 Whitegate Ave',2.667457,1959,2400,1,1,0.2,1,1,2.280655,?
'755 Oakhill Rd',2.729853,1961,2118,0,0,0.6,?,4,2.422901,?
'1177 Buttercup Ter',2.634599,2015,1152,2,2,1.6,3.5,2.4,2.323704,764000
'705 Westmount Dr APT 209',2.581555,1967,?,0,0,0.3,2.6,1.2,2.263121,375000
'11820 Mayfield Ave APT 102',2.608583,1967,1169,0,0,2,1.9,0.4,2.307963,655000
'504 Foothill Rd',2.742322,1924,2943,0,0,0.4,?,1.2,2.379022,?
'83 S Milpitas Blvd',2.624844,2019,2021,2,2,1.4,1.8,1.3,2.287553,?
'1298 Dodd Ln',2.574318,1950,3000,10,10,2.6,?,1.3,?,?
'3840 Lenawee Ave',2.690009,2020,3227,2,2,1.6,1.8,1.8,2.273169,500000
'650 W 41st St',2.584912,1922,1333,0,0,0.3,?,0.5,2.206305,220000
'1177 California St APT 1616',2.696457,1978,2092,1,1,0.3,0.9,1,2.429471,2450000
'1085 Tasman Dr SPC 404',2.537209,2000,1680,2,2,2.4,3.5,2.5,?,?
'1391 Hillcrest Dr',2.678103,1970,3041,3,3,1.1,1.5,1.7,2.379691,1200000
'317 Los Pinos Way',2.641242,1969,2010,2,2,0.4,?,1.7,2.336169,658000
'20215 Hummingbird Hill Rd',2.557167,1960,1970,3,3,?,?,4.7,2.213299,150000
'769 Crescent Ave',2.687869,1925,2970,0,0,0.2,2,1,2.19704,?
'1033 N New Hampshire Ave',2.625792,1910,2968,0,0,0.3,0.9,1.3,2.345349,810000
'415 Maplewood Ave',2.697792,2020,3966,2,2,0.7,1,1.9,2.396972,1522000
'2350 Beaumont St',2.537209,2003,1431,2,2,0.4,?,1.9,2.147837,?
'1223 Atwood Pl',2.578029,1950,1288,1,1,?,?,?,2.164855,?
'1771 39th Ave',2.661398,1943,?,2,2,0.4,0.2,1.2,2.384338,1500000
'3059 Shadow Springs Pl',2.578029,1985,1010,1,1,0.7,?,0.6,2.275914,189000
'1321 Scott St',2.673176,1900,1890,1,1,0.5,?,0.1,2.202277,?
'1781 El Codo Way',2.661355,1963,1860,2,2,0.6,0.6,1.5,2.345654,675000
'6 Skypark Cir',2.665021,1997,2410,2,2,1.3,0.9,1.7,2.312984,554000
'120 Park Ave',2.553182,1973,1334,2,2,0.9,?,7,2.212311,292000
'12372 Evensong Dr',2.660331,1978,2504,0,0,0.6,0.9,1.7,2.257414,?
'915 Fassler Ave',2.619659,1988,1300,0,0,0.6,?,6,2.300991,458000
'1553 Cliff Dr',2.459183,?,?,?,?,0.3,0.9,?,?,?
'852 N Genesee Ave',2.714459,2020,4382,2,2,0.3,?,0.3,2.399277,1800000
'10 Primrose Ln',2.654718,1961,1500,0,0,0.5,0.4,0.7,2.249546,?
'815 Meade Ave',2.602749,1998,1331,1,1,0.5,?,0.7,2.241138,?
'12864 W South Seaglass Cir',2.670839,2014,2312,3,2,0.5,0.9,2.2,2.376628,?
'1119 Keltner Ave',2.655418,1958,1782,2,2,0.2,1.5,2.3,2.297613,?
'24614 Lakme Ave',2.585565,1944,1231,2,2,0.1,0.9,0.6,2.299853,305000
'66 Bernard St #1',2.636847,1987,?,1,1,0.4,0.5,0.7,2.334716,730000
'410 N 1st St UNIT 427',2.60224,1994,1050,0,0,0.7,0.8,1.6,2.223469,180000
'13463 Old Oak Way',2.716237,1974,3729,2,2,1.6,2.2,1.3,2.418065,1762000
'4160 Jade St SPC 60',2.562758,1972,1140,0,0,1.1,4.7,2.3,?,?
'2071 E San Antonio St',2.594114,1998,1278,1,1,0.5,0.2,1.2,2.231792,180000
'2907 Baze Rd',2.651941,2014,1390,0,0,0.5,1.2,1.3,?,?
'319 S Sycamore Ave',2.673668,1924,2539,0,0,0.5,0.5,1.4,2.409499,1860000
'11805 Arapaho Way',2.592368,2005,2839,2,2,9.3,?,11.1,2.255957,?
'440 E 121st St',2.567943,1944,1014,2,2,0.1,0.7,?,2.247295,111500
'124 Bersano Ln',2.687939,2007,2324,2,2,0.6,7.7,1.4,2.411288,1950000
'10316 La Salle Ave',2.569265,1938,1312,2,2,0.5,1.4,0.3,2.20965,?
'408 Kendall Ave',2.613959,1942,1046,0,0,0,?,1.1,2.32345,785000
'649 Pippin Ln',2.560017,1974,883,0,0,0.6,1.2,1,2.241114,408000
'88 S Broadway UNIT 2302',2.657021,2007,1756,0,0,0.4,0.8,0.3,2.380375,1429000
'429 N Oakhurst Dr APT 304',2.638902,1974,1295,0,0,0.8,?,1.7,2.226508,205000
'909 Lundy Ln',2.61691,2019,1825,1,1,1.5,0.3,2.3,2.048136,?
'42 Robak Dr',2.613959,1962,1525,0,0,3.2,?,2,2.114176,?
'6515 Kensington Pl',2.613526,1979,2590,2,2,0.6,1.7,0.5,2.278995,680000
'1472 Falcon Ave',2.671163,1962,1534,2,2,0.3,2.2,0.7,2.083511,?
'1071 Ribisi Cir',2.599636,1971,1102,2,2,0.2,2,0.9,2.208058,?
'45674 Rocking K Dr',2.462667,1970,1477,0,0,4.5,?,27.7,?,?
'519 W Grand Ave',2.48296,1900,982,1,1,0.5,0.5,4.9,2.106438,84000
'7348 W 90th St',2.647229,1953,1957,2,2,0.3,?,?,2.257634,290000
'545 Biscayne Ct',2.622072,1977,2500,2,2,0.3,9.5,2.1,2.216665,197000
'350 Broderick St APT 406',2.647804,2007,1000,1,1,0.7,1.4,0.3,2.364569,1125000
'5283-5283A Davis Rd',2.60224,1993,2308,2,2,4.8,?,4.7,2.279789,750000
'33 Pasatiempo Dr',2.641815,1940,2149,0,0,0.8,2.6,4.4,2.285554,?
'20580 Oak Creek Ln',2.653774,1979,1807,2,2,0.5,1.7,2.1,2.358379,?
'1420 Webster St APT 6',2.60121,1963,1050,0,0,0.1,?,0.4,2.290092,495000
'60 Wilson Way SPC 114',2.531646,2011,1062,0,0,0.5,0.8,0.9,?,?
'1004 Durness Pl',2.613959,1990,1191,2,2,0.5,?,0.2,2.286823,360000
'1704 S Catalina St',2.60224,1901,910,3,3,0.2,?,0.3,2.285107,525000
'617 N Mccadden Pl',2.676446,1927,2265,0,0,0.8,0.4,1.4,2.403588,1850000
'1700 Civic Center Dr APT 203',2.573552,1972,653,1,1,0.4,0.9,1.8,2.225197,247500
'2481 Canal Dr',2.571994,1952,1920,2,2,0.5,?,0.5,2.204207,260000
'335 27th Ave',2.636447,1907,1994,0,0,0.3,0.2,0.4,?,?
'1158 Stafford Dr',2.691352,1966,1924,2,2,0.1,0.4,0.8,2.209749,?
'1501 San Carlos Ave',2.672999,1920,1612,0,0,0.5,0.3,2.1,2.464968,1900000
'2701 Mattison Ln',2.619738,1952,2356,2,2,1.2,1.7,1.2,2.318074,720000
'2801 San Simeon Way',2.671495,1958,1695,2,2,0.2,1.5,1.5,2.363566,1106000
'331 6th St',2.647282,1972,2460,0,0,0.3,?,6.8,2.339392,715000
'3388 Brittan Ave APT 6',2.620525,1973,1040,0,0,1,1.6,1.4,2.327926,749000
'9413 Brillo Dr',2.505923,2002,1422,2,2,0.5,1.5,1.3,2.179233,120000
'315 Stonegate Cir',2.575826,1985,704,1,1,0.7,1.7,1.6,2.250328,345000
'2747 Kola St',2.537717,1997,1580,2,2,?,?,?,2.168235,132000
'538 Ironwood Ter APT 3',2.588116,1983,747,0,0,0.3,1.3,2,2.201387,185000
'244 Polhemus Ave',2.822048,2009,10560,2,2,?,1.6,2.7,2.594271,18900000
'331 Tempo Ln',2.640083,2015,1947,2,2,0.6,1.9,2.9,2.345654,921000
'7654 Airport Blvd',2.632667,1949,1134,2,2,0.3,?,?,2.324365,745500
'2116 W 54th St',2.576568,1925,3305,0,0,0.4,1.3,?,2.042111,?
'335 Odyssey Ln',2.629317,2014,1651,1,1,0.6,2,2.2,2.313718,635500
'18 Aragon Blvd',2.695618,1929,3058,2,2,0.7,0.5,0.7,2.41983,2150000
'81 S Branciforte Ave',2.615027,1991,1672,2,2,0.5,1.5,1.6,2.278323,502000
'4411 S Mullen Ave',2.620525,1942,1707,2,2,?,0.8,?,2.287756,450000
'946 S Ferris Ave',2.59118,1929,1610,2,2,0.5,0.7,?,2.235523,?
'18430 Del Monte Ave',2.618136,1988,1633,2,2,1,8.2,1.2,2.302806,655000
'1576 W 36th Pl',2.60121,1910,1300,0,0,?,?,?,2.218124,240000
'2315 South Dr',2.663481,1965,3030,2,2,0.4,0.4,1.1,2.360574,1010000
'1025 Shell Blvd APT 2',2.613959,1972,994,1,1,0.7,1.1,4.6,2.308137,705000
'20077 Summona Dr',2.560296,?,2303,3,3,8.9,?,9.5,?,?
'15215 Donnington Ln',2.638902,1979,2807,2,2,1,4.4,7,2.320403,745000
'600 Chestnut St APT 409',2.635857,1995,1291,1,1,0.4,0.2,0.6,2.368012,1200000
'23 Hencken Oaks Ln',2.607549,1993,1562,2,2,0.2,9.2,2,2.14396,?
'7800 Florence St',2.498154,1991,1587,0,0,1.7,?,5.3,2.115003,?
'214 Vista Roma Way',2.615661,2004,1680,2,2,2.5,?,1.4,2.32574,?
'2872 Delevan Dr',2.606212,1924,1210,1,1,0.1,?,1.5,2.279488,540000
'6740 Rosanna St',2.591777,1964,1139,1,1,0.5,1.7,0.5,2.214715,236000
'101 Crescent Way APT 2102',2.582917,2001,1063,2,2,0.5,1.7,1.3,2.287786,464534
'1524 N Sierra Bonita Ave',2.689326,1916,2402,0,0,0.1,1.2,1.1,2.392436,?
'1342 Bonnie Cove Ave',2.592368,1962,1360,2,2,0.9,2,1.1,2.099157,?
'11141 Breezy Blvd',2.457015,1977,1004,0,0,4.6,?,35.3,2.056127,55000
'2334 Silver Ridge Ave',2.637397,1963,?,0,0,0.3,?,?,2.249786,825000
'4724 Shade Tree Ln',2.575826,1989,1686,2,2,?,0.9,1.4,2.260709,365000
'7097 Via Pacifica',2.627578,1975,1228,2,2,0.4,0.4,7.5,2.302633,500000
'450 Navaro Way UNIT 116',2.640374,1992,1637,2,2,1.6,3.7,5,2.325195,735000
'3023 Cavendish Dr',2.688636,1952,2454,0,0,0.5,1.1,1,2.295129,?
'9551 Holmes Ave',2.546761,1923,556,0,0,0.3,0.8,?,2.209056,229000
'20200 Rock Springs Ln',2.619738,1989,2151,0,0,?,?,4.7,2.309176,709000
'650 38th Ave',2.67728,1931,2330,2,2,0.1,0.6,0.5,2.402008,1750000
'1800 Leavenworth St #1804',2.638843,1906,1128,0,0,0.3,0.6,0.6,2.353365,1050000
'306 Detroit St',2.645957,1925,?,1,1,0.3,0.5,0.5,2.208459,182000
'3402 Durham Way',2.547296,2006,3040,0,0,?,?,?,2.240349,411500
'10234 England Ave',2.62321,1956,?,5,5,0.1,0.2,0.3,?,?
'8530 Hedges Pl',2.746659,1961,?,0,0,1.6,2.6,1.4,2.34589,1800000
'1445 Fruitdale Ave UNIT 324',2.61177,2008,1206,2,2,0.8,1.7,0.9,2.284583,?
'1817 California St APT 207',2.604749,1960,537,1,1,0.5,?,0.9,2.319793,685000
'201 Harrison St APT 410',2.611323,1991,797,1,1,1.7,3.5,1,2.310021,559000
'250 Judson Ave',2.63364,1926,?,3,3,0.1,0.5,0.5,2.338322,911011
'927 W Gage Ave',2.604749,1957,3201,4,4,0.5,0.3,0.3,2.257454,687000
'1163 Hermina St',2.647282,1977,1773,2,2,0.3,1,0.9,2.304332,530000
'Swede Crk',2.466003,?,?,?,?,10.5,?,12.9,?,99000
'16730 Cerro Vista Dr',2.638902,1980,2025,2,2,?,?,2.2,2.324239,830000
'802 N Avenue 52',2.638724,1926,1476,1,1,?,?,?,2.301816,460000
'2153 Echo Park Ave',2.642945,1909,1500,0,0,?,2,2,2.310734,685000
'336 W Elm St',2.569591,1924,1266,1,1,0.3,?,0.6,2.291454,434000
'654 Forest Meadows Dr',2.590153,2006,2470,2,2,3.4,3.7,10.4,2.265363,438000
'660 Carolina St',2.639081,0,?,?,?,0.3,2.1,0.1,?,?
'3024 Arizona Ave',2.644882,1923,952,1,1,0.5,1.3,1.9,2.326102,735000
'466 Milford St #12',2.580166,1981,1125,2,2,0.1,0.9,0.9,2.204831,385000
'484 Dempsey Rd UNIT 185',2.556191,2007,676,0,0,0.4,0.8,1.8,2.223612,270000
'220 Highland Ter',2.697672,1959,2925,4,4,1.1,5.9,0.5,2.374562,1250000
'21 North St',2.581555,1928,480,0,1,4,?,4.4,2.196403,140000
'700 S New Hampshire Ave',2.684332,1918,?,4,4,?,?,?,2.381321,1300000
'714 N Alta Dr',2.77543,1951,4321,0,0,0.8,?,2,2.464421,1100000
'225 Foothill Ct',2.547096,1998,1914,2,2,1.2,0.8,2.7,2.315244,746000
'1128 State Highway 45',2.544845,1979,2208,3,3,3.5,?,3.8,2.213013,295000
'2646 Veteran Ave',2.682595,2005,3500,2,2,0.5,0.6,2.2,2.386053,?
'2205 Scott St',2.743306,1924,3158,3,3,0.2,?,0.5,2.487072,4450000
'12716 Rubens Ave',2.643502,1954,1328,0,0,0.5,0.3,1.3,2.088873,?
'2179 Holly Ln',2.60717,1984,1925,2,2,1.3,?,1.4,2.23063,246000
'753 Magnolia Ave',2.640491,1947,1640,0,0,0.3,?,1.3,2.104731,?
'5966 Pala Mesa Dr',2.652331,2000,2734,1,1,0.4,?,1,2.365959,950000
'3223 W 6th St UNIT 408',2.603254,2009,1450,0,0,?,?,?,?,?
'1322 S Amantha Ave',2.568772,1950,1052,0,0,0.6,0.7,1.5,2.304658,465000
'5229 Hartwick St',2.637397,1922,1844,0,0,0.3,?,0.8,2.331126,810000
'90 Lockhart Ranch Rd',2.546537,2002,1900,2,2,1.9,?,6.9,2.197263,325000
'12 Newton St',2.630677,1913,1080,0,0,0.4,0.5,0.4,2.319936,615000
'18042 Ibex Ave',2.609967,1947,2574,3,3,0.2,0.4,1.4,2.288465,?
'4117 Tracy St',2.656018,1940,1713,2,2,0.3,0.7,0.2,2.375445,1135000
'1412 Alma Way',2.592721,1984,1071,0,0,0.4,1.3,1.3,2.246397,260000
'1810 Green St',2.710666,1900,?,2,2,0.2,0.5,0.5,2.462467,3400000
'1369 S Ridgeley Dr',2.643502,1927,1753,2,2,0.2,?,2.1,2.317532,495000
'20776 Reid Ln',2.682526,1955,1223,2,2,1.2,1.4,0.5,2.373654,1020000
'130 Langton St',2.614815,1906,1000,0,0,?,?,?,2.330901,?
'108 Benito Ave',2.692667,2001,2187,0,0,3.2,?,2.6,2.296327,320000
'8211 Glen Arbor Rd',2.604749,1946,912,0,0,0.7,0.7,0.8,2.283327,490000
'60 Ora Way UNIT H205',2.534959,1975,480,1,1,0.8,0.6,?,2.23461,93000
'2553 Clay St',2.681293,1981,1750,1,1,0.7,?,0.4,2.406771,1450000
'3912 Folsom St',2.696457,1914,2515,1,1,0.1,?,?,2.42158,2100000
'820 Hyperion Ave',2.654718,1928,1320,0,0,0.4,0.7,1.4,2.33708,?
'700 Sand Hill Cir',2.674573,1976,2070,0,0,?,1.2,3.7,2.399317,1700000
'789 Green Valley Rd SPC 45',2.507841,1973,1300,0,0,1.3,2.3,3.6,?,?
'922 E Channel St',2.51008,1905,1311,0,0,?,?,3.3,2.178921,200000
'1282 Weibel Way',2.62966,1985,1224,2,2,0.2,1.3,0.4,2.3175,560000
'855 Lincoln Way APT 5',2.652331,1981,1360,1,1,0.4,?,0.3,2.370635,1225000
'2130 Warmwood Ln',2.634599,1964,1632,1,1,0.1,0.3,3.1,2.169908,850000
